stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
25_percent,0.25,150000,913.724364813,109.70542478767965,2.2549019168670044,40.0,0.0,nan,0.0,0.0,0.0,-1.9252320252392303,0.16588998749713924,0.9910297393444999
50_percent,0.5,300000,1893.7026710029998,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
75_percent,0.75,450000,2880.743574749,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
100_percent,1.0,600000,3867.538165443,108.01625157703803,0.4737211281342377,40.0,0.0,nan,0.0,0.0,0.0,-1.9338714308639628,0.14632020143032798,0.9914216382553649
