stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,53.36169059245339,1.289259188610718,20.0,0.0,nan,0.0,0.0,0.0,-1.9722090604454312,0.2544782640775598,0.2593676375594714
25_percent,0.25,150000,44.55944157600001,352.02832953345774,55.104100327705595,20.0,0.08333333333333333,17.86,0.0,0.03158333333333333,0.015166666666666667,1.3007969804028439,3.1538963401820843,0.9562267135508878
50_percent,0.5,300000,88.71837095400005,310.3191060635311,23.49499133810311,20.0,0.0,nan,0.0,0.021083333333333332,0.0065,1.1784330773569183,2.7554418735228654,0.9303416056975489
75_percent,0.75,450000,132.33155777100004,382.03711415219414,35.66548320593917,20.0,0.08333333333333333,17.98,0.0,0.054,0.018666666666666668,1.6483602288986718,3.016550297044924,0.9619191078362067
100_percent,1.0,600000,175.69092108900006,355.12583524043885,33.67927929884827,20.0,0.0,nan,0.0,0.02791666666666667,0.01,1.3361139090905143,3.052859835302541,0.9647102778075244
