stage,progress,timesteps,training_wall_time_s,difficulty,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,stable_ratio,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,947.2498388829999,0.0,170.8343029943163,60.66916574645882,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.1506267731742668,0.7862773959729795,0.8892712509722154
block_01_d0p000,0.20833333333333334,125000,1199.154219857,0.0,647.1325342274225,235.98486655203843,40.0,0.3333333333333333,33.705000000000005,0.0,0.015375000000000002,0.03820833333333334,0.008541666666666668,1.1883292605121778,2.148794361987673,0.8440304742728375
block_02_d0p000,0.25,150000,1449.676003132,0.0,940.5630933192996,155.98821120859952,40.0,0.5,29.77333333333333,0.0,0.027625,0.08345833333333334,0.027583333333333335,1.6779122659859915,2.8735110358262976,0.8135937912042065
block_03_d0p100,0.2916666666666667,175000,1704.342591182,0.1,818.5637105036907,224.6008862778501,40.0,0.4166666666666667,34.156,0.0,0.020541666666666666,0.06929166666666667,0.027416666666666662,1.6126069305535655,2.6034363614128053,0.8405155050378731
block_04_d0p100,0.3333333333333333,200000,1957.443848923,0.1,146.03800407646884,73.74208281230095,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.5402472871406265,0.4283411135539448,0.9846165056851247
block_05_d0p000,0.375,225000,2159.8656499239996,0.0,113.35685896752916,3.557115071689784,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8972477526036664,0.2565123084336735,0.9981894095289428
block_06_d0p000,0.4166666666666667,250000,2361.991472819999,0.0,139.17696048472192,84.82658675390977,40.0,0.0,nan,0.0,0.0005833333333333334,0.0006666666666666666,0.0,-1.650300173390244,0.42124415289428563,0.9876586265490809
block_07_d0p000,0.4583333333333333,275000,2564.4045099829996,0.0,840.6067226049668,208.17285246547533,40.0,0.16666666666666666,36.480000000000004,0.0,0.015625,0.05595833333333333,0.016124999999999997,1.4492378134665165,2.8883304638582543,0.8216929236321479
block_08_d0p000,0.5,300000,2773.614878222,0.0,713.4186846375245,298.4918782524999,40.0,0.3333333333333333,33.595,0.0,0.015208333333333336,0.05737500000000001,0.02295833333333333,1.0592583389688113,2.460040980561962,0.8578005655735824
block_09_d0p000,0.5416666666666666,325000,3026.9123088179995,0.0,113.09542140565675,3.392997670622706,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976123735978847,0.2513996517972044,0.9990978339478525
block_10_d0p000,0.5833333333333334,350000,3230.9923317559997,0.0,240.10205990747195,226.67677598317135,40.0,0.0,nan,0.0,0.0022916666666666667,0.006791666666666667,0.0019166666666666666,-1.0193923562543088,0.7785671720046157,0.9550116597022296
block_11_d0p000,0.625,375000,3435.537747089,0.0,889.3818865721437,123.99558156522349,40.0,0.3333333333333333,31.345000000000002,0.08333333333333333,0.017208333333333336,0.05437500000000001,0.014166666666666666,1.5123478787834914,2.9334374803323957,0.7865731427158948
block_12_d0p000,0.6666666666666666,400000,3689.653281194,0.0,642.2282829121899,42.14143032068408,40.0,0.0,nan,0.0,0.0011666666666666668,0.002125,0.0,0.5191626457093251,2.0254900717568733,0.8069531321866438
block_13_d0p000,0.7083333333333334,425000,3895.2881448489998,0.0,113.27461057869932,3.646250990986934,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976005319927571,0.25362576546592347,0.998656977819877
block_14_d0p000,0.75,450000,4099.197331086,0.0,645.4687593301416,102.09307869603425,40.0,0.0,nan,0.0,0.008708333333333334,0.02683333333333333,0.006166666666666667,1.3269757355759115,2.5856767697771637,0.8318253025210837
block_15_d0p000,0.7916666666666666,475000,4303.530547039,0.0,253.6259112791328,123.37098757451714,40.0,0.0,nan,0.0,0.000125,0.00125,0.0,-0.5465276052825604,0.9110427900507775,0.909389510823284
block_16_d0p000,0.8333333333333334,500000,4511.500876932,0.0,806.8640339409022,114.17027979262274,40.0,0.0,nan,0.0,0.005750000000000001,0.036625,0.0095,1.3157734855749152,3.0039032464987727,0.8021096223062781
block_17_d0p000,0.875,525000,4717.0281650120005,0.0,949.4466341172847,171.94706430484766,40.0,0.25,28.2,0.0,0.019750000000000004,0.08445833333333334,0.028083333333333335,1.632422378905174,3.0519303670562175,0.78845048628785
block_18_d0p000,0.9166666666666666,550000,4968.017863361,0.0,1060.4249476002085,116.24907584071099,40.0,0.3333333333333333,32.665,0.0,0.025333333333333336,0.10758333333333335,0.037625,1.796428531440063,2.914404448477368,0.8104763875899811
block_19_d0p025,0.9583333333333334,575000,5220.944258710001,0.025,1090.3842221687573,163.53005737205345,40.0,0.5,29.819999999999997,0.0,0.022208333333333333,0.10670833333333331,0.04266666666666666,1.7561944471128375,3.1249849414621007,0.8099488091893181
block_20_d0p025,1.0,600000,5472.394960893001,0.025,1023.9677606969177,105.81491127635421,40.0,0.5,33.58666666666667,0.0,0.028416666666666663,0.09804166666666668,0.034999999999999996,1.7533143348286562,3.1081318550619628,0.8087416821559655
final_model,1.0,600000,5472.394960893001,0.025,1023.9677606969177,105.81491127635421,40.0,0.5,33.58666666666667,0.0,0.028416666666666663,0.09804166666666668,0.034999999999999996,1.7533143348286562,3.1081318550619628,0.8087416821559655
