stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,31.495718058,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_01_mixed_upper,0.25,150000,47.138604111,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_02_mixed_upper,0.3333333333333333,200000,62.785717024,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_03_mixed_upper,0.4166666666666667,250000,78.34165838200002,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_04_mixed_mid,0.5,300000,93.94132040800002,113.06098308693048,3.379998878998666,40.0,0.0,nan,0.0,0.0,0.0,-1.897633017096765,0.25091526753648685,0.9991583166425754
block_05_mixed_mid,0.5833333333333334,350000,109.39964407200003,382.36506961048286,387.4599538502818,40.0,0.0,nan,0.0,0.032,0.012958333333333336,-0.5983084183044202,1.5392465752228779,0.9885461406785541
block_06_mixed_mid,0.6666666666666666,400000,124.79407744200003,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_07_mixed_full,0.75,450000,140.04439947700004,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_08_mixed_full,0.8333333333333334,500000,155.43458393300003,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_09_mixed_full,0.9166666666666666,550000,171.00531912400007,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_10_mixed_downward,1.0,600000,186.28532942400003,690.8019829497822,429.74884710403853,40.0,0.0,nan,0.0,0.06354166666666666,0.026125,0.6820247753991903,3.8059316217877224,0.9625618249366207
