stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
25_percent,0.25,150000,1446.591965258,803.6856177940008,128.19168913885747,40.0,0.16666666666666666,32.879999999999995,0.0,0.05099999999999999,0.012625000000000003,1.4464365038042226,3.132257131063796,0.7703591620724829
50_percent,0.5,300000,2998.306614777,974.0663585238559,133.43938512227314,40.0,0.4166666666666667,32.8,0.0,0.11141666666666666,0.04766666666666666,1.833063628295018,3.057814011288818,0.7919833872092404
75_percent,0.75,450000,4517.763149409,138.1085646913762,33.391457689306726,40.0,0.0,nan,0.0,0.0,0.0,-1.5827159342950363,0.41272418428740815,0.7344018731188956
100_percent,1.0,600000,6111.6135511130005,115.30488559866852,9.218811945148717,40.0,0.0,nan,0.0,0.0,0.0,-1.8456168723318302,0.19300001109789763,0.33463817619837993
