stage,progress,timesteps,training_wall_time_s,difficulty,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,945.81922375,0.0,123.28262679152833,60.871337308312796,40.0,0.0,nan,0.0,0.0,0.0,-1.7730431825832145,0.1572824920868498,0.40784099339438873
block_01_d0p000,0.20833333333333334,125000,1201.717601592,0.0,919.6384851976627,165.67471727501766,40.0,0.3333333333333333,28.905,0.0,0.07395833333333333,0.036583333333333336,1.6948773045289898,3.3715232054279287,0.7909220784045452
block_02_d0p000,0.25,150000,1454.622824734,0.0,1054.787012809754,65.52720417930911,40.0,0.5833333333333334,30.771428571428576,0.0,0.11904166666666666,0.04499999999999999,1.857525700667428,3.2753821307093443,0.7955042106729177
block_03_d0p100,0.2916666666666667,175000,1705.994924115,0.1,911.1255541381562,127.01464509253844,40.0,0.4166666666666667,32.08,0.0,0.06854166666666667,0.021541666666666664,1.5756904971580001,3.102176379769197,0.7975261470108341
block_04_d0p100,0.3333333333333333,200000,1955.2998375709997,0.1,937.3625480058923,129.57682402587722,40.0,0.4166666666666667,31.824,0.0,0.08224999999999999,0.02879166666666667,1.7086996348366543,3.0401702139634104,0.7852780533130633
block_05_d0p200,0.375,225000,2204.889572078,0.2,1114.191656301388,85.46500199004207,40.0,0.5,26.646666666666665,0.0,0.137375,0.054375,1.9373472292277352,3.3371322004530026,0.7971979601846576
block_06_d0p200,0.4166666666666667,250000,2455.53019402,0.2,1101.4932160173196,64.47048758141291,40.0,0.25,30.506666666666664,0.0,0.140375,0.04929166666666667,1.8646552931245843,3.368864074830789,0.8155094835035407
block_07_d0p000,0.4583333333333333,275000,2704.904536188,0.0,1015.63777526185,108.1778629143048,40.0,0.5833333333333334,29.934285714285718,0.0,0.08858333333333333,0.035458333333333335,1.7523076878691928,3.005355607912278,0.8065011232365786
block_08_d0p000,0.5,300000,2957.244716807,0.0,1133.5693652411594,73.29770996992436,40.0,0.6666666666666666,29.31,0.0,0.13895833333333332,0.054583333333333324,1.8640650238427865,3.105321254493853,0.8154933499275322
block_09_d0p050,0.5416666666666666,325000,3207.289291744,0.05,1099.649679351581,134.71471671950943,40.0,0.6666666666666666,30.560000000000002,0.0,0.13275,0.048958333333333326,1.8917864468560202,2.9710593672272356,0.821502367967109
block_10_d0p050,0.5833333333333334,350000,3458.582989744,0.05,1164.04655811622,150.4731202962684,40.0,0.5833333333333334,29.154285714285713,0.0,0.14533333333333334,0.06270833333333335,1.8732449781924416,3.420879093247159,0.8059953087750392
block_11_d0p100,0.625,375000,3712.787909884,0.1,1216.497564080086,136.67447917895743,40.0,0.5,23.433333333333337,0.0,0.16858333333333334,0.07720833333333334,1.9282826595013154,3.4418589309800662,0.8132899239089629
block_12_d0p100,0.6666666666666666,400000,3969.4983707210004,0.1,1181.7822313011754,85.87156255792274,40.0,0.75,29.61333333333333,0.0,0.15512500000000004,0.06225,1.924343656207632,3.1538635305242217,0.8094333447517368
block_13_d0p150,0.7083333333333334,425000,4231.044639987001,0.15000000000000002,1161.601204272726,68.69472154039924,40.0,0.5,28.51,0.0,0.13995833333333332,0.05833333333333334,1.9347207665954098,3.4490916223823924,0.8132551628036108
block_14_d0p150,0.75,450000,4490.277018717,0.15000000000000002,1198.5491355410325,85.37926228636806,40.0,0.6666666666666666,27.4,0.0,0.16508333333333333,0.08108333333333333,1.980904130953203,3.4722094071185405,0.8326482255848845
block_15_d0p200,0.7916666666666666,475000,4746.165211027,0.2,1213.1133640911482,72.19584321838963,40.0,0.5,23.843333333333334,0.0,0.1582916666666667,0.075375,1.9522956889004555,3.7128235754150007,0.81735202500422
block_16_d0p200,0.8333333333333334,500000,4997.684551727,0.2,1232.5584872893662,89.17417409845355,40.0,0.5,23.83666666666667,0.0,0.16337500000000002,0.07383333333333333,1.903186621034556,3.40151053419724,0.821108954578636
block_17_d0p250,0.875,525000,5254.749224016,0.25,1213.948577819143,79.09152292844364,40.0,0.5,27.846666666666664,0.0,0.17029166666666665,0.08154166666666667,1.9839504359090379,3.321050385378364,0.8261027724872544
block_18_d0p250,0.9166666666666666,550000,5511.746895876,0.25,1259.5544904586075,70.25788588989738,40.0,0.5,25.55666666666667,0.0,0.18241666666666667,0.08783333333333333,1.9619538614216738,3.5331616695000783,0.8124729732781018
block_19_d0p300,0.9583333333333334,575000,5767.2945871169995,0.3,1188.0941450909686,72.61605297003383,40.0,0.5,28.019999999999996,0.0,0.15070833333333333,0.05895833333333334,1.9248419850689313,3.275362401124292,0.8088938025039029
block_20_d0p300,1.0,600000,6025.289204545,0.3,1227.8760188403396,100.200085357041,40.0,0.3333333333333333,24.36,0.0,0.18183333333333337,0.08754166666666667,1.965437630803579,3.4155222711707514,0.8057211649750696
final_model,1.0,600000,6025.289204545,0.1,1181.7822313011754,85.87156255792274,40.0,0.75,29.61333333333333,0.0,0.15512500000000004,0.06225,1.924343656207632,3.1538635305242217,0.8094333447517368
