stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
25_percent,0.25,150000,40.722046617000004,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
50_percent,0.5,300000,81.33097982,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
75_percent,0.75,450000,122.16153896299998,891.6956863344209,372.1278684571265,40.0,0.16666666666666666,20.87,0.0,0.09108333333333335,0.043666666666666666,1.3391817928132468,5.681368064943229,0.9801306988591917
100_percent,1.0,600000,162.17032190500004,991.8149847782424,124.72245541062993,40.0,0.0,nan,0.0,0.08095833333333334,0.036208333333333335,1.926943568901654,7.019438520387045,0.9730266899713725
