stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,53.36169059245339,1.289259188610718,20.0,0.0,nan,0.0,0.0,0.0,-1.9722090604454312,0.2544782640775598,0.2593676375594714
25_percent,0.25,150000,1146.2103368189998,58.03051896673093,1.8554530255796613,20.0,0.0,nan,0.0,0.0,0.0,-1.893811604030266,0.3255202907425198,0.9871738621718139
50_percent,0.5,300000,2367.2627989049997,289.5537779078997,44.22777553733329,20.0,0.0,nan,0.0,0.006083333333333334,0.0,0.7666400275012549,2.4424363834943166,0.8633308022005296
75_percent,0.75,450000,3593.560639216,55.76717645974181,1.1358047099049648,20.0,0.0,nan,0.0,0.0,0.0,-1.9139273077138375,0.22900884640717112,0.9708576341788732
100_percent,1.0,600000,4799.360342071001,52.36401191190731,0.3400225961511005,20.0,0.0,nan,0.0,0.0,0.0,-1.9609044216781673,0.06884212560378046,0.845882157930424
