stage,progress,timesteps,training_wall_time_s,difficulty,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,stable_ratio,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,325.958636047,0.0,113.08180322500557,3.3854387970734687,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.897651110524011,0.25112326730099904,0.9988274019594471
block_01_d0p000,0.20833333333333334,125000,411.050487582,0.0,114.98596958426238,20.436384634018424,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.849620105903594,0.17350898315710192,0.9448829728276258
block_02_d0p000,0.25,150000,496.79274719,0.0,113.05908579357789,3.379223580755401,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976321924456372,0.2506268362969648,0.9991868227604493
block_03_d0p000,0.2916666666666667,175000,583.051937742,0.0,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_04_d0p100,0.3333333333333333,200000,669.034470826,0.1,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_05_d0p100,0.375,225000,754.2964948279999,0.1,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_06_d0p100,0.4166666666666667,250000,840.049145386,0.1,113.0591323402128,3.379257596576165,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.897632101139082,0.2506282733689322,0.9991869580256535
block_07_d0p200,0.4583333333333333,275000,925.1861602709998,0.2,113.05909418294912,3.37921768807414,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.897632109512564,0.25062750440598813,0.9991870281775931
block_08_d0p200,0.5,300000,1010.5149760049999,0.2,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_09_d0p200,0.5416666666666666,325000,1096.8351873759998,0.2,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_10_d0p300,0.5833333333333334,350000,1183.3291999839998,0.30000000000000004,113.05908992824767,3.379215778682771,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976321133296723,0.2506273848152065,0.9991870387113407
block_11_d0p300,0.625,375000,1269.2054843619999,0.30000000000000004,1163.956987964759,96.45868706564255,40.0,0.25,23.213333333333335,0.0,0.012125000000000002,0.13699999999999998,0.064625,1.974119250817288,5.005109094306465,0.9248193148363498
block_12_d0p300,0.6666666666666666,400000,1354.5144931329999,0.30000000000000004,1041.2298895583272,162.81630256205264,40.0,0.16666666666666666,33.17,0.0,0.010625,0.09666666666666666,0.04041666666666667,1.793036453169128,3.9475399623670437,0.9206273465618003
block_13_d0p400,0.7083333333333334,425000,1439.6246890989999,0.4,1031.7985085633034,69.99968885600444,40.0,0.08333333333333333,21.400000000000002,0.0,0.005291666666666667,0.09695833333333333,0.04395833333333333,1.9550414349601042,4.286005139697474,0.922510336606632
block_14_d0p300,0.75,450000,1509.2211869569999,0.30000000000000004,113.06021288516341,3.380246058845281,40.0,0.0,nan,0.0,0.0,0.0,0.0,-1.8976320982852848,0.25064797888299933,0.9991854830560083
block_15_d0p300,0.7916666666666666,475000,1578.8030486569999,0.30000000000000004,1007.9741973550745,91.61619533023654,40.0,0.08333333333333333,30.44,0.0,0.0045000000000000005,0.103375,0.04320833333333334,1.944181687773946,4.132304181615877,0.9215764781119669
block_16_d0p300,0.8333333333333334,500000,1648.4935529059999,0.30000000000000004,1081.47621945544,136.93603413548266,40.0,0.08333333333333333,21.740000000000002,0.0,0.004416666666666667,0.11179166666666669,0.052583333333333336,1.9249597284377016,5.297585057745521,0.9203273521504095
block_17_d0p300,0.875,525000,1718.984507899,0.30000000000000004,957.6494733886242,193.86134614114633,40.0,0.16666666666666666,32.49,0.0,0.010166666666666666,0.08650000000000001,0.03925,1.7872970155979964,4.1521052115386885,0.9393311882389516
block_18_d0p300,0.9166666666666666,550000,1804.098544531,0.30000000000000004,950.7781657124683,73.01074126842467,40.0,0.08333333333333333,25.740000000000002,0.0,0.008791666666666666,0.084,0.03466666666666667,1.9089393408427366,3.9780201455465054,0.9310150522414777
block_19_d0p300,0.9583333333333334,575000,1873.4583062630002,0.30000000000000004,1026.453952704571,109.90273321808229,40.0,0.08333333333333333,23.080000000000002,0.0,0.004125,0.1025,0.04766666666666666,1.9212408776992638,4.217997167007442,0.9310765700206657
block_20_d0p300,1.0,600000,1943.4578655970001,0.30000000000000004,1113.3075225348666,133.01248878359317,40.0,0.25,19.69333333333333,0.0,0.007166666666666666,0.11483333333333333,0.046791666666666676,1.9068003204993718,4.753171637703839,0.9193102978650304
final_model,1.0,600000,1943.4578655970001,0.30000000000000004,1113.3075225348666,133.01248878359317,40.0,0.25,19.69333333333333,0.0,0.007166666666666666,0.11483333333333333,0.046791666666666676,1.9068003204993718,4.753171637703839,0.9193102978650304
