stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,411.823264782,112.46838778164533,2.505270753836088,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025981034745,0.24207937225833046,0.9991870365961403
block_01_mixed_upper,0.25,150000,630.512027473,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_02_mixed_upper,0.3333333333333333,200000,850.8881871299999,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_03_mixed_upper,0.4166666666666667,250000,1086.0084680229998,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_04_mixed_mid,0.5,300000,1327.5342200299997,617.8514528242011,601.1458633957831,40.0,0.25,24.773333333333337,0.0,0.08629166666666667,0.05279166666666666,-0.3103966613076524,1.4478189953108496,0.9656563893564479
block_05_mixed_mid,0.5833333333333334,350000,1568.0420618499998,112.46838691778483,2.5052692245244423,40.0,0.0,nan,0.0,0.0,0.0,-1.9041025980530846,0.24207935798875949,0.9991870387113407
block_06_mixed_upper,0.6666666666666666,400000,1817.7036923059998,271.1492413345638,356.44971894517823,40.0,0.0,nan,0.0,0.01958333333333333,0.009166666666666667,-1.2709215520052468,0.6974056658022625,0.9880838975826247
block_07_mixed_upper,0.75,450000,2069.677850018,271.1492413345638,356.44971894517823,40.0,0.0,nan,0.0,0.01958333333333333,0.009166666666666667,-1.2709215520052468,0.6974056658022625,0.9880838975826247
block_08_mixed_upper,0.8333333333333334,500000,2317.2282538329996,271.1492413345638,356.44971894517823,40.0,0.0,nan,0.0,0.01958333333333333,0.009166666666666667,-1.2709215520052468,0.6974056658022625,0.9880838975826247
block_09_mixed_upper,0.9166666666666666,550000,2564.5323487009996,271.1492413345638,356.44971894517823,40.0,0.0,nan,0.0,0.01958333333333333,0.009166666666666667,-1.2709215520052468,0.6974056658022625,0.9880838975826247
block_10_mixed_upper,1.0,600000,2800.718117742,271.1492413345638,356.44971894517823,40.0,0.0,nan,0.0,0.01958333333333333,0.009166666666666667,-1.2709215520052468,0.6974056658022625,0.9880838975826247
