stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,53.36169059245339,1.289259188610718,20.0,0.0,nan,0.0,0.0,0.0,-1.9722090604454312,0.2544782640775598,0.2593676375594714
25_percent,0.25,150000,720.21272411,325.889086632143,20.60630489365738,20.0,0.0,nan,0.0,0.033916666666666664,0.0,1.2854709015701897,2.6943127407020566,0.9528765245401273
50_percent,0.5,300000,1491.977495071,362.70461145675125,51.70152812124798,20.0,0.25,18.80666666666667,0.0,0.04,0.011500000000000002,1.2808157736582497,2.8358172833863495,0.9525094038414245
75_percent,0.75,450000,2269.271780596,57.20271089346529,1.7386977816895202,20.0,0.0,nan,0.0,0.0,0.0,-1.8976321133296723,0.28351899430313904,0.9983734154400729
100_percent,1.0,600000,3049.333657651,53.19584276620183,0.34582375606611376,20.0,0.0,nan,0.0,0.0,0.0,-1.9512818758025876,0.10298421171209432,0.9711435602489734
