stage,progress,timesteps,training_wall_time_s,mean_return,std_return,mean_survival_s,capture_rate,mean_capture_time_s,final_stable_rate,goal_ratio,high_ratio,max_tip_height_m,rms_joint_speed_rad_s,rms_torque_nm
random,0.0,0,0.0,107.4840084111662,2.7984355396474943,40.0,0.0,nan,0.0,0.0,0.0,-1.9695018245098572,0.2822503897184032,0.25808437177098603
warmup,0.16666666666666666,100000,938.7032630670001,123.28262679152833,60.871337308312796,40.0,0.0,nan,0.0,0.0,0.0,-1.7730431825832145,0.1572824920868498,0.40784099339438873
block_01_mixed_upper,0.25,150000,1446.522313396,990.3126143694067,176.45463193608487,40.0,0.5,31.75666666666667,0.0,0.09616666666666666,0.03775,1.6002730076182192,3.224433324321853,0.8001312054427324
block_02_mixed_upper,0.3333333333333333,200000,1955.07246802,572.8983306164712,332.975355995985,40.0,0.25,34.873333333333335,0.0,0.04854166666666667,0.023124999999999996,0.8863996293433872,2.032759586902244,0.8954502453977168
block_03_mixed_mid,0.4166666666666667,250000,2468.103673962,331.1654098366432,301.73820480347916,40.0,0.08333333333333333,36.28,0.0,0.022750000000000003,0.006916666666666667,-0.5031738604673992,1.1311140761247844,0.9453552663048447
block_04_mixed_upper,0.5,300000,2975.608538323,1146.488272834539,170.9782689414957,40.0,0.4166666666666667,25.388,0.0,0.13483333333333333,0.05525,1.822579970091656,3.2716785568588853,0.8119911178872617
block_05_mixed_upper,0.5833333333333334,350000,3481.048078188,113.76531443834398,3.748890160717794,40.0,0.0,nan,0.0,0.0,0.0,-1.8968665775152302,0.2657627037080263,0.99734007219297
block_06_mixed_upper,0.6666666666666666,400000,3985.8016666880003,1146.488272834539,170.9782689414957,40.0,0.4166666666666667,25.388,0.0,0.13483333333333333,0.05525,1.822579970091656,3.2716785568588853,0.8119911178872617
block_07_mixed_upper,0.75,450000,4503.228284644,113.76531443834398,3.748890160717794,40.0,0.0,nan,0.0,0.0,0.0,-1.8968665775152302,0.2657627037080263,0.99734007219297
block_08_mixed_upper,0.8333333333333334,500000,5020.319464421001,1146.488272834539,170.9782689414957,40.0,0.4166666666666667,25.388,0.0,0.13483333333333333,0.05525,1.822579970091656,3.2716785568588853,0.8119911178872617
block_09_mixed_upper,0.9166666666666666,550000,5530.268599573001,113.76531443834398,3.748890160717794,40.0,0.0,nan,0.0,0.0,0.0,-1.8968665775152302,0.2657627037080263,0.99734007219297
block_10_mixed_upper,1.0,600000,6040.271626731001,1146.488272834539,170.9782689414957,40.0,0.4166666666666667,25.388,0.0,0.13483333333333333,0.05525,1.822579970091656,3.2716785568588853,0.8119911178872617
